character	grade	frequency_rank	stroke_count	meaning	onyomi	kunyomi	radical
支	5	159	4	branch, support, sustain, branch radical (no. 65)	シ	ささ.える,つか.える,か.う	支
第	3	160	11	No., residence	ダイ,テイ		竹
産	4	161	11	products, bear, give birth, yield, childbirth, native, property	サン	う.む,う.まれる,うぶ-,む.す	生
結	4	162	12	tie, bind, contract, join, organize, do up hair, fasten	ケツ,ケチ	むす.ぶ,ゆ.う,ゆ.わえる	糸
百	1	163	6	hundred	ヒャク,ビャク	もも	白
派	6	164	9	faction, group, party, clique, sect, school	ハ		汁
点	2	165	9	spot, point, mark, speck, decimal point	テン	つ.ける,つ.く,た.てる,さ.す,とぼ.す,とも.す,ぼち	火
教	2	166	11	teach, faith, doctrine	キョウ	おし.える,おそ.わる	攵
報	5	167	12	report, news, reward, retribution	ホウ	むく.いる	土
済	6	168	11	settle (debt, etc.), relieve (burden), finish, come to an end, excusable, need not	サイ,セイ	す.む,-ず.み,-ずみ,す.まない,す.ます,-す.ます,すく.う,な.す,わたし,わた.る	汁
書	2	169	10	write	ショ	か.く,-が.き,-がき	曰
府	4	170	8	borough, urban prefecture, govt office, representative body, storehouse	フ		广
活	2	171	9	lively, resuscitation, being helped, living	カツ	い.きる,い.かす,い.ける	汁
原	2	172	10	meadow, original, primitive, field, plain, prairie, tundra, wilderness	ゲン	はら	厂
先	1	173	6	before, ahead, previous, future, precedence	セン	さき,ま.ず	儿
共	4	174	6	together, both, neither, all, and, alike, with	キョウ	とも,とも.に,-ども	ハ
得	5	175	11	gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit	トク	え.る,う.る	彳
解	5	176	13	unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute	カイ,ゲ	と.く,と.かす,と.ける,ほど.く,ほぐ.す,わか.る,さと.る	角
名	1	177	6	name, noted, distinguished, reputation	メイ,ミョウ	な,-な	口
交	2	178	6	mingle, mixing, association, coming & going	コウ	まじ.わる,まじ.える,ま.じる,まじ.る,ま.ざる,ま.ぜる,-か.う,か.わす,かわ.す,こもごも	亠
資	5	179	13	assets, resources, capital, funds, data, be conducive to, contribute to	シ		貝
予	3	180	4	beforehand, previous, myself, I	ヨ,シャ	あらかじ.め	亅
川	1	181	3	stream, river, river or three-stroke river radical (no. 47)	セン	かわ	巛
向	3	182	6	yonder, facing, beyond, confront, defy, tend toward, approach	コウ	む.く,む.い,-む.き,む.ける,-む.け,む.かう,む.かい,む.こう,む.こう-,むこ,むか.い	口
際	5	183	14	occasion, side, edge, verge, dangerous, adventurous, indecent, time, when	サイ	きわ,-ぎわ	阡
査	5	184	9	investigate	サ		木
勝	3	185	12	victory, win, prevail, excel	ショウ	か.つ,-が.ち,まさ.る,すぐ.れる,かつ	力
面	3	186	9	mask, face, features, surface	メン,ベン	おも,おもて,つら	面
委	3	187	8	committee, entrust to, leave to, devote, discard	イ	ゆだ.ねる	女
告	5	188	7	revelation, tell, inform, announce	コク	つ.げる	口
軍	4	189	9	army, force, troops, war, battle	グン	いくさ	車
文	1	190	4	sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)	ブン,モン	ふみ,あや	文
反	3	191	4	anti-	ハン,ホン,タン,ホ	そ.る,そ.らす,かえ.す,かえ.る,-かえ.る	又
元	2	192	4	beginning, former time, origin	ゲン,ガン	もと	儿
重	3	193	9	heavy, important, esteem, respect, heap up, pile up, nest of boxes, -fold	ジュウ,チョウ	え,おも.い,おも.り,おも.なう,かさ.ねる,かさ.なる,おも	里
近	2	194	7	near, early, akin, tantamount	キン,コン	ちか.い	込
千	1	195	3	thousand	セン	ち	十
考	2	196	6	consider, think over	コウ	かんが.える,かんが.え	老
判	5	197	7	judgement, judgment, signature, stamp, seal	ハン,バン	わか.る	刀
認	6	198	14	acknowledge, witness, discern, recognize, appreciate, believe	ニン	みと.める,したた.める	言
画	2	199	8	brush-stroke, picture	ガ,カク,エ,カイ	えが.く,かく.する,かぎ.る,はかりごと,はか.る	田
海	2	200	9	sea, ocean	カイ	うみ	汁
参	4	201	8	nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in	サン,シン	まい.る,まい-,まじわる,みつ	厶
売	2	202	7	sell	バイ	う.る,う.れる	士
利	4	203	7	profit, advantage, benefit	リ	き.く	刀
組	2	204	11	association, braid, plait, construct, assemble, unite, cooperate, grapple	ソ	く.む,くみ,-ぐみ	糸
知	2	205	8	know, wisdom	チ	し.る,し.らせる	矢
案	4	206	10	plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench	アン	つくえ	木
道	2	207	12	road-way, street, district, journey, course, moral, teachings	ドウ,トウ	みち,いう	込
信	4	208	9	faith, truth, fidelity, trust	シン		化
策	6	209	12	scheme, plan, policy, step, means	サク		竹
集	3	210	12	gather, meet, congregate, swarm, flock	シュウ	あつ.まる,あつ.める,つど.う	隹
在	5	211	6	exist, outskirts, suburbs, located in	ザイ	あ.る	土
件	5	212	6	affair, case, matter, item	ケン	くだん	化
団	5	213	6	group, association	ダン,トン	かたまり,まる.い	囗
別	4	214	7	separate, branch off, diverge, fork, another, extra, specially	ベツ	わか.れる,わ.ける	刀
物	3	215	8	thing, object, matter	ブツ,モツ	もの,もの-	牛
側	4	216	11	side, lean, oppose, regret	ソク	かわ,がわ,そば	化
任	5	217	6	responsibility, duty, term, entrust to, appoint	ニン	まか.せる,まか.す	化
引	2	218	4	pull, tug, jerk, admit, install, quote, refer to	イン	ひ.く,ひ.ける	弓
使	3	219	8	use, send on a mission, order, messenger, envoy, ambassador, cause	シ	つか.う,つか.い,-つか.い,-づか.い	化
求	4	220	7	request, want, wish for, require, demand	キュウ,グ	もと.める	汁
所	3	221	8	place, extent	ショ	ところ,-ところ,どころ,とこ	戸
次	3	222	6	next, order, sequence	ジ,シ	つ.ぐ,つぎ	欠
水	1	223	4	water	スイ	みず,みず-	汁
半	2	224	5	half, middle, odd number, semi-, part-	ハン	なか.ば	十
品	3	225	9	goods, refinement, dignity, article, counter for meal courses	ヒン,ホン	しな	口
昨	4	226	9	yesterday, previous	サク		日
論	6	227	15	argument, discourse	ロン	あげつら.う	言
計	2	228	9	plot, plan, scheme, measure	ケイ	はか.る,はか.らう	言
死	3	229	6	death, die	シ	し.ぬ,し.に-	歹
官	4	230	8	bureaucrat, the government, organ	カン		宀
増	5	231	14	increase, add, augment, gain, promote	ゾウ	ま.す,ま.し,ふ.える,ふ.やす	土
係	3	232	9	person in charge, connection, duty, concern oneself	ケイ	かか.る,かかり,-がかり,かか.わる	化
感	3	233	13	emotion, feeling, sensation	カン		心
特	4	234	10	special	トク		牛
情	5	235	11	feelings, emotion, passion, sympathy, circumstances, facts	ジョウ,セイ	なさ.け	心
投	3	236	7	throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss	トウ	な.げる,-な.げ	扎
示	5	237	5	show, indicate, point out, express, display	ジ,シ	しめ.す	示
変	4	238	9	unusual, change, strange	ヘン	か.わる,か.わり,か.える	夂
打	3	239	5	strike, hit, knock, pound, dozen	ダ,ダース	う.つ,う.ち-,ぶ.つ	扎
男	1	240	7	male	ダン,ナン	おとこ,お	田
基	5	241	11	fundamentals, radical (chem), counter for machines, foundation	キ	もと,もとい	土
私	6	242	7	private, I, me	シ	わたくし,わたし	禾
各	4	243	6	each, every, either	カク	おのおの	口
始	3	244	8	commence, begin	シ	はじ.める,-はじ.める,はじ.まる	女
島	3	245	10	island	トウ	しま	山
直	2	246	8	straightaway, honesty, frankness, fix, repair	チョク,ジキ,ジカ	ただ.ちに,なお.す,-なお.す,なお.る,なお.き,す.ぐ	目
両	3	247	6	both, old Japanese coin, counter for carriages (e.g., in a train), two	リョウ	てる,ふたつ	一
朝	2	248	12	morning, dynasty, regime, epoch, period, (North) Korea	チョウ	あさ	月
革	6	249	9	leather, skin, reform, become serious	カク	かわ	革
価	5	250	8	value, price	カ,ケ	あたい	化
式	3	251	6	style, ceremony, rite, function, method, system, form, expression	シキ		弋
確	5	252	15	assurance, firm, tight, hard, solid, confirm, clear, evident	カク,コウ	たし.か,たし.かめる	石
村	1	253	7	village, town	ソン	むら	木
提	5	254	12	propose, take along, carry in hand	テイ,チョウ,ダイ	さ.げる	扎
運	3	255	12	carry, luck, destiny, fate, lot, transport, progress, advance	ウン	はこ.ぶ	込
終	3	256	11	end, finish	シュウ	お.わる,-お.わる,おわ.る,お.える,つい,つい.に	糸
挙	4	257	10	raise, plan, project, behavior, actions	キョ	あ.げる,あ.がる,こぞ.る	扎
果	4	258	8	fruit, reward, carry out, achieve, complete, end, finish, succeed	カ	は.たす,はた.す,-は.たす,は.てる,-は.てる,は.て	木
西	2	259	6	west, Spain	セイ,サイ,ス	にし	西
勢	5	260	13	forces, energy, military strength	セイ,ゼイ	いきお.い,はずみ	力
