character	grade	frequency_rank	stroke_count	meaning	onyomi	kunyomi	radical
嘉	9	1553	14	applaud, praise, esteem, happy, auspicious	カ	よみ.する,よい	口
星	2	844	9	star, spot, dot, mark	セイ,ショウ	ほし,-ぼし	日
買	2	520	12	buy	バイ	か.う	貝
寿	8	1245	7	longevity, congratulations, one's natural life	ジュ,ス,シュウ	ことぶき,ことぶ.く,ことほ.ぐ	寸
汗	8	1502	6	sweat, perspire	カン	あせ	汁
瑞	9	1873	13	congratulations	ズイ,スイ	みず-,しるし	王
典	4	1055	8	code, ceremony, law, rule	テン,デン	ふみ,のり	ハ
士	5	526	3	gentleman, scholar, samurai, samurai radical (no. 33)	シ	さむらい	士
篤	8	1942	16	fervent, kind, cordial, serious, deliberate	トク	あつ.い	竹
恒	8	1314	9	constancy, always	コウ	つね,つねに	心
獅	9	1914	13	lion	シ	しし	犯
班	6	1592	10	squad, corps, unit, group	ハン		王
服	3	873	8	clothing, admit, obey, discharge	フク		月
維	8	643	14	fiber, tie, rope	イ		糸
仙	8	1157	5	hermit, wizard, cent	セン,セント		化
蘇	9	1968	19	be resuscitated, revived, perilla, shiso	ソ,ス	よみがえ.る	艾
頼	8	708	16	trust, request	ライ	たの.む,たの.もしい,たよ.る	頁
窒	8	1776	11	plug up, obstruct	チツ		穴
扶	8	1879	7	aid, help, assist	フ	たす.ける	扎
突	8	521	8	stab, protruding, thrust, pierce, prick, collision, sudden	トツ,カ	つ.く	穴
智	9	1002	12	wisdom, intellect, reason	チ		日
逸	8	1524	11	deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge	イツ	そ.れる,そ.らす,はぐ.れる	込
乙	8	1841	1	the latter, duplicate, strange, witty, fishhook radical (no. 5)	オツ,イツ	おと-,きのと	乞
息	3	882	10	breath, respiration, son, interest (on money), rest, coming to an end	ソク	いき	心
羅	8	1831	19	gauze, thin silk, Rome, arrange, spread out	ラ	うすもの	
布	5	877	5	linen, cloth, spread, distribute	フ,ホ	ぬの,し.く,きれ	巾
穴	6	1366	5	hole, aperture, slit, cave, den	ケツ	あな	穴
尻	8	1692	5	buttocks, hips, butt, rear	コウ	しり	尸
停	5	733	11	halt, stopping	テイ	と.める,と.まる	化
弾	8	853	12	bullet, twang, flip, snap	ダン,タン	ひ.く,-ひ.き,はず.む,たま,はじ.く,はじ.ける,ただ.す,はじ.きゆみ	弓
塔	8	1708	12	pagoda, tower, steeple	トウ		土
晩	6	1424	12	nightfall, night	バン		日
香	4	859	9	incense, smell, perfume	コウ,キョウ	か,かお.り,かお.る	香
波	3	740	8	waves, billows, Poland	ハ	なみ	汁
谷	2	508	7	valley	コク	たに,きわ.まる	谷
盤	8	881	15	tray, shallow bowl, platter, tub, board, phonograph record	バン		皿
屋	3	616	9	roof, house, shop, dealer, seller	オク	や	尸
粉	5	1484	10	flour, powder, dust	フン	デシメートル,こ,こな	米
倶		1842	10	both, together, alike	グ,ク	とも.に	化
律	6	992	9	rhythm, law, regulation, gauge, control	リツ,リチ,レツ		彳
賓	8	1677	15	V.I.P., guest	ヒン	まろうど,したがう	貝
郎	8	569	9	son, counter for sons	ロウ,リョウ	おとこ	邦
板	3	926	8	plank, board, plate, stage	ハン,バン	いた	木
秘	6	862	10	secret, conceal	ヒ	ひ.める,ひそ.か,かく.す	禾
露	8	928	21	dew, tears, expose, Russia	ロ,ロウ	つゆ	雨
青	1	589	8	blue, green	セイ,ショウ	あお,あお-,あお.い	青
封	8	1143	9	seal, closing	フウ,ホウ		寸
寸	6	1669	3	measurement, tenth of a shaku, a little, small	スン		寸
満	4	515	12	full, fullness, enough, satisfy	マン,バン	み.ちる,み.つ,み.たす	汁
俺	8	1946	10	I, myself	エン	おれ,われ	化
乃	9	1978	2	from, possessive particle, whereupon, accordingly	ナイ,ダイ,ノ,アイ	の,すなわ.ち,なんじ	ノ
弥	8	1687	8	all the more, increasingly	ミ,ビ	や,いや,いよ.いよ,わた.る	弓
級	3	785	9	class, rank, grade	キュウ		糸
猶	8	1799	12	furthermore, still, yet	ユウ,ユ	なお	犯
老	4	803	6	old man, old age, grow old	ロウ	お.いる,ふ.ける	老
丁	3	1312	2	street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign	チョウ,テイ,チン,トウ,チ	ひのと	一
浪	8	1508	10	wandering, waves, billows, reckless, unrestrained	ロウ		汁
漫	8	1408	14	cartoon, involuntarily, unrestrained, in spite of oneself, corrupt	マン	みだり.に,そぞ.ろ	汁
倫	8	1322	10	ethics, companion	リン		化
敦	9	1695	12	industry, kindliness	トン,タイ,ダン,チョウ	あつ.い	攵
華	8	1085	10	splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous	カ,ケ	はな	艾
盛	6	712	11	boom, prosper, copulate	セイ,ジョウ	も.る,さか.る,さか.ん	皿
鉛	8	1710	13	lead	エン	なまり	金
熱	4	700	15	heat, temperature, fever, mania, passion	ネツ	あつ.い	火
帯	4	746	10	sash, belt, obi, zone, region	タイ	お.びる,おび	巾
哀	8	1715	9	pathetic, grief, sorrow, pathos, pity, sympathize	アイ	あわ.れ,あわ.れむ,かな.しい	口
悼	8	1645	11	lament, grieve over	トウ	いた.む	心
愛	4	640	13	love, affection, favourite	アイ	いと.しい,かな.しい,め.でる,お.しむ,まな	心
敬	6	1078	12	awe, respect, honor, revere	ケイ,キョウ	うやま.う	攵
犬	1	1326	4	dog	ケン	いぬ,いぬ-	犯
称	8	985	10	appellation, praise, admire, name, title, fame	ショウ	たた.える,とな.える,あ.げる,かな.う,はか.り,はか.る,ほめ.る	禾
読	2	618	14	read	ドク,トク,トウ	よ.む,-よ.み	言
悪	3	530	11	bad, vice, rascal, false, evil, wrong	アク,オ	わる.い,わる-,あ.し,にく.い,-にく.い,ああ,いずくに,いずくんぞ,にく.む	心
響	8	502	20	echo, sound, resound, ring, vibrate	キョウ	ひび.く	音
寒	3	1456	12	cold	カン	さむ.い	宀
戯	8	1880	15	frolic, play, sport	ギ,ゲ	たわむ.れる,ざ.れる,じゃ.れる	戈
賢	8	1159	16	intelligent, wise, wisdom, cleverness	ケン	かしこ.い	貝
臭	8	1760	9	stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright	シュウ	くさ.い,-くさ.い,にお.う,にお.い	自
循	8	1699	12	sequential, follow	ジュン		彳
候	4	510	10	climate, season, weather, wait for, expect	コウ	そうろう	化
夢	5	943	13	dream, vision, illusion	ム,ボウ	ゆめ,ゆめ.みる,くら.い	夕
司	4	759	5	director, official, govt office, rule, administer	シ	つかさど.る	口
締	8	797	15	tighten, tie, shut, lock, fasten	テイ	し.まる,し.まり,し.める,-し.め,-じ.め	糸
圧	5	718	5	pressure, push, overwhelm, oppress, dominate	アツ,エン,オウ	お.す,へ.す,おさ.える,お.さえる	土
巻	6	944	9	scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)	カン,ケン	ま.く,まき,ま.き	已
縮	6	909	17	shrink, contract, shrivel, wrinkle, reduce	シュク	ちぢ.む,ちぢ.まる,ちぢ.める,ちぢ.れる,ちぢ.らす	糸
倒	8	791	10	overthrow, fall, collapse, drop, break down	トウ	たお.れる,-だお.れ,たお.す,さかさま,さかさ,さかしま	化
迫	8	773	8	urge, force, imminent, spur on	ハク	せま.る	込
旋	8	1801	11	rotation, go around	セン	め.ぐる,いばり	方
扱	8	1057	6	handle, entertain, thresh, strip	ソウ,キュウ	あつか.い,あつか.う,あつか.る,こ.く	扎
易	5	571	8	easy, ready to, simple, fortune-telling, divination	エキ,イ	やさ.しい,やす.い	日
静	4	764	14	quiet	セイ,ジョウ	しず-,しず.か,しず.まる,しず.める	青
障	6	742	14	hinder, hurt, harm	ショウ	さわ.る	阡
泰	8	1281	10	peaceful, calm, peace, easy, Thailand, extreme, excessive, great	タイ		汁
値	6	518	10	price, cost, value	チ	ね,あたい	化
眠	8	1315	10	sleep, die, sleepy	ミン	ねむ.る,ねむ.い	目
暗	3	1040	13	darkness, disappear, shade, informal, grow dark, be blinded	アン	くら.い,くら.む,くれ.る	日
闇	8	1969	17	get dark, gloom, disorder	アン,オン	やみ,くら.い	門
雲	2	1256	12	cloud	ウン	くも,-ぐも	雨
号	3	585	5	nickname, number, item, title, pseudonym, name, call	ゴウ	さけ.ぶ,よびな	口
殺	5	581	10	kill, murder, butcher, slice off, split, diminish, reduce, spoil	サツ,サイ,セツ	ころ.す,-ごろ.し,そ.ぐ,あや.める	殳
礁	8	1977	17	reef, sunken rock	ショウ		石
黙	8	1338	15	silence, become silent, stop speaking, leave as is	モク,ボク	だま.る,もだ.す	黒
降	6	596	10	descend, precipitate, fall, surrender	コウ,ゴ	お.りる,お.ろす,ふ.る,ふ.り,くだ.る,くだ.す	阡
偉	8	1639	12	admirable, greatness, remarkable, conceited, famous, excellent	イ	えら.い	化
囲	5	771	7	surround, besiege, store, paling, enclosure, encircle, preserve, keep	イ	かこ.む,かこ.う,かこ.い	囗
碁	8	1609	13	Go	ゴ		石
託	8	1021	10	consign, requesting, entrusting with, pretend, hint	タク	かこつ.ける,かこ.つ,かこ.つける	言
厳	6	638	17	stern, strictness, severity, rigidity	ゲン,ゴン	おごそ.か,きび.しい,いか.めしい,いつくし	厂
込	8	675	5	crowded, mixture, in bulk, included, (kokuji)		-こ.む,こ.む,こ.み,-こ.み,こ.める	込
志	5	823	7	intention, plan, resolve, aspire, motive, hopes, shilling	シ	シリング,こころざ.す,こころざし	心
匠	8	1718	6	artisan, workman, carpenter	ショウ	たくみ	匚
慰	8	1158	15	consolation, amusement, seduce, cheer, make sport of, comfort, console	イ	なぐさ.める,なぐさ.む	心
霊	8	1458	15	spirits, soul	レイ,リョウ	たま	雨
祭	3	1124	11	ritual, offer prayers, celebrate, deify, enshrine, worship	サイ	まつ.る,まつ.り,まつり	示
為	8	831	9	do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a result of	イ	ため,な.る,な.す,す.る,たり,つく.る,なり	火
替	8	979	12	exchange, spare, substitute, per-	タイ	か.える,か.え-,か.わる	曰
句	5	1244	5	phrase, clause, sentence, passage, paragraph, counter for haiku	ク		口
端	8	960	14	edge, origin, end, point, border, verge, cape	タン	はし,は,はた,-ばた,はな	立
遷	8	1937	15	transition, move, change	セン	うつ.る,うつ.す,みやこがえ	込
植	3	699	12	plant	ショク	う.える,う.わる	木
殖	8	1362	12	augment, increase, multiply, raise	ショク	ふ.える,ふ.やす	歹
籍	8	907	20	enroll, domiciliary register, membership	セキ		竹
緯	8	1430	16	horizontal, woof, left & right, (parallels of) latitude, prediction	イ	よこいと,ぬき	糸
胃	6	1647	9	stomach, paunch, crop, craw	イ		肉
腸	6	1807	13	intestines, guts, bowels, viscera	チョウ	はらわた,わた	肉
衣	4	1214	6	garment, clothes, dressing	イ,エ	ころも,きぬ,-ぎ	衣
装	6	657	12	attire, dress, pretend, disguise, profess	ソウ,ショウ	よそお.う,よそお.い	衣
憲	6	551	16	constitution, law	ケン		心
遺	6	647	15	bequeath, leave behind, reserve	イ,ユイ	のこ.す	込
憾	8	1682	16	remorse, regret, be sorry	カン	うら.む	心
恨	8	1877	9	regret, bear a grudge, resentment, malice, hatred	コン	うら.む,うら.めしい	心
跡	8	953	13	tracks, mark, print, impression	セキ	あと	足
師	5	563	10	expert, teacher, master, model, exemplar, army (incl. counter), war	シ	いくさ	巾
薬	3	702	16	medicine, chemical, enamel, gunpowder, benefit	ヤク	くすり	艾
療	8	600	17	heal, cure	リョウ		疔
戸	2	575	4	door, counter for houses, door radical (no. 63)	コ	と	戸
往	5	1421	8	journey, travel, chase away, let go, going, before, formerly	オウ	い.く,いにしえ,さき.に,ゆ.く	彳
億	4	716	15	hundred million, 10**8	オク		化
階	3	513	12	storey, stair, counter for storeys of a building	カイ	きざはし	阡
概	8	1335	14	outline, condition, approximation, generally	ガイ	おおむ.ね	木
角	2	805	7	angle, corner, square, horn, antlers	カク	かど,つの	角
括	8	1026	9	fasten, tie up, arrest, constrict	カツ	くく.る	扎
貫	8	1156	11	pierce, 8 1/3lbs, penetrate, brace	カン	つらぬ.く,ぬ.く,ぬき	貝
丸	2	542	3	round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away	ガン	まる,まる.める,まる.い	丶
喜	5	769	12	rejoice, take pleasure in	キ	よろこ.ぶ,よろこ.ばす	口
憂	8	1625	15	melancholy, grieve, lament, be anxious, sad, unhappy	ユウ	うれ.える,うれ.い,う.い,う.き	心
曲	3	810	6	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean	キョク	ま.がる,ま.げる,くま	曰
軒	8	1416	10	flats, counter for houses, eaves	ケン	のき	車
冊	6	1313	5	tome, counter for books, volume	サツ,サク	ふみ	冂
炭	3	1307	9	charcoal, coal	タン	すみ	火
素	5	660	10	elementary, principle, naked, uncovered	ソ,ス	もと	糸
室	2	550	9	room, apartment, chamber, greenhouse, cellar	シツ	むろ	宀
周	4	562	8	circumference, circuit, lap	シュウ	まわ.り	口
週	2	540	11	week	シュウ		込
瞬	8	1265	18	wink, blink, twinkle	シュン	またた.く,まじろ.ぐ	目
緒	8	952	14	thong, beginning, inception, end, cord, strap, mental or emotional state	ショ,チョ	お,いとぐち	糸
歩	2	554	8	walk, counter for steps	ホ,ブ,フ	ある.く,あゆ.む	止
娘	8	1145	10	daughter, girl	ジョウ	むすめ,こ	女
鳥	2	1043	11	bird, chicken	チョウ	とり	鳥
懸	8	889	20	state of suspension, hang, depend, consult, distant, far apart	ケン,ケ	か.ける,か.かる	心
斉	8	1209	8	adjusted, alike, equal, similar variety of	セイ,サイ	そろ.う,ひと.しい,ひと.しく,あたる,はやい	文
昔	3	1197	8	once upon a time, antiquity, old times	セキ,シャク	むかし	日
層	6	801	14	stratum, social class, layer, story, floor	ソウ		尸
掃	8	1255	11	sweep, brush	ソウ,シュ	は.く	扎
堂	5	1010	11	public chamber, hall	ドウ		土
敗	4	516	11	failure, defeat, reversal	ハイ	やぶ.れる	攵
倍	3	714	10	double, twice, times, fold	バイ		化
泊	8	1233	8	overnight stay, put up at, ride at anchor	ハク	と.まる,と.める	汁
般	8	649	10	carrier, carry, all, general, sort, kind	ハン		舟
匹	8	1384	4	equal, head, counter for small animals, roll of cloth	ヒツ	ひき	
遍	8	1845	12	everywhere, times, widely, generally	ヘン	あまね.く	込
枚	6	911	8	sheet of..., counter for flat thin objects or sheets	マイ,バイ		木
岩	2	787	8	boulder, rock, cliff	ガン	いわ	山
幕	6	835	13	curtain, bunting, act of play	マク,バク	とばり	巾
躍	8	900	21	leap, dance, skip	ヤク	おど.る	足
翼	8	1201	17	wing, plane, flank	ヨク	つばさ	羽
覧	6	1510	17	perusal, see	ラン	み.る	見
塚	8	869	12	hillock, mound	チョウ	つか,-づか	土
塁	8	651	12	bases, fort, rampart, walls, base(ball)	ルイ,ライ,スイ	とりで	土
速	3	576	10	quick, fast	ソク	はや.い,はや-,はや.める,すみ.やか	込
脱	8	782	11	undress, removing, escape from, get rid of, be left out, take off	ダツ	ぬ.ぐ,ぬ.げる	肉
稲	8	1038	14	rice plant	トウ,テ	いね,いな-	禾
刈	8	1738	4	reap, cut, clip, trim, prune	ガイ,カイ	か.る	刀
妻	5	691	8	wife, spouse	サイ	つま	女
穂	8	1656	15	ear, ear (grain), head, crest (wave)	スイ	ほ	禾
標	4	686	15	signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target	ヒョウ	しるべ,しるし	木
鑑	8	1391	23	specimen, take warning from, learn from	カン	かんが.みる,かがみ	金
刷	4	1352	8	printing, print, brush	サツ	す.る,-ず.り,-ずり,は.く	刀
紙	2	559	10	paper	シ	かみ	糸
縁	8	1291	15	affinity, relation, connection, edge, border, verge, brink	エン,-ネン	ふち,ふち.どる,ゆかり,よすが,へり,えにし	糸
魅	8	1206	15	fascination, charm, bewitch	ミ		鬼
継	8	743	13	inherit, succeed, continue, patch, graft (tree)	ケイ	つ.ぐ,まま-	糸
抜	8	726	7	slip out, extract, pull out, pilfer, quote, remove, omit	バツ,ハツ,ハイ	ぬ.く,-ぬ.く,ぬ.き,ぬ.ける,ぬ.かす,ぬ.かる	扎
戻	8	890	7	re-, return, revert, resume, restore, go backwards	レイ	もど.す,もど.る	戸
離	8	555	19	detach, separation, disjoin, digress	リ	はな.れる,はな.す	隹
裂	8	1041	12	split, rend, tear	レツ	さ.く,さ.ける,-ぎ.れ	衣
掛	8	1027	11	hang, suspend, depend, arrive at, tax, pour	カイ,ケイ	か.ける,-か.ける,か.け,-か.け,-が.け,か.かる,-か.かる,-が.かる,か.かり,-が.かり,かかり,-がかり	扎
責	5	598	11	blame, condemn, censure	セキ	せ.める	貝
飲	3	969	12	drink, smoke, take	イン,オン	の.む,-の.み	食
陰	8	1393	11	shade, yin, negative, sex organs, secret, shadow	イン	かげ,かげ.る	阡
謀	8	1370	16	conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive	ボウ,ム	はか.る,たばか.る,はかりごと	言
隠	8	1089	14	conceal, hide, cover	イン,オン	かく.す,かく.し,かく.れる,よ.る	阡
滅	8	1222	13	destroy, ruin, overthrow, perish	メツ	ほろ.びる,ほろ.ぶ,ほろ.ぼす	汁
右	1	602	5	right	ウ,ユウ	みぎ	口
左	1	630	5	left	サ,シャ	ひだり	工
折	4	962	7	fold, break, fracture, bend, yield, submit	セツ,シャク	お.る,おり,お.り,-お.り,お.れる	扎
脚	8	1228	11	skids, leg, undercarriage, lower part, base	キャク,キャ,カク	あし	肉
腕	8	1163	12	arm, ability, talent	ワン	うで	肉
宙	6	1005	8	mid-air, air, space, sky, memorization, interval of time	チュウ		宀
魚	2	1208	11	fish	ギョ	うお,さかな,-ざかな	魚
羽	2	748	6	feathers, counter for birds, rabbits	ウ	は,わ,はね	羽
根	3	620	10	root, radical, head (pimple)	コン	ね,-ね	木
織	5	608	18	weave, fabric	ショク,シキ	お.る,お.り,おり,-おり,-お.り	糸
毛	2	1179	4	fur, hair, feather, down	モウ	け	毛
破	5	590	10	rend, rip, tear, break, destroy, defeat, frustrate	ハ	やぶ.る,やぶ.れる,わ.れる	石
雨	1	950	8	rain	ウ	あめ,あま-,-さめ	雨
宿	3	701	11	inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling	シュク	やど,やど.る,やど.す	宀
漏	8	1298	14	leak, escape, time	ロウ	も.る,も.れる,も.らす	汁
渦	8	1789	12	whirlpool, eddy, vortex	カ	うず	汁
吐	8	1674	6	spit, vomit, belch, confess, tell (lies)	ト	は.く,つ.く	口
浦	8	977	10	bay, creek, inlet, gulf, beach, seacoast	ホ	うら	汁
良	4	501	7	good, pleasing, skilled	リョウ	よ.い,-よ.い,い.い,-い.い	艮
河	5	663	8	river	カ	かわ	汁
航	5	665	10	navigate, sail, cruise, fly	コウ		舟
賃	6	961	13	fare, fee, hire, rent, wages, charge	チン		貝
免	8	1080	8	excuse, dismissal	メン	まぬか.れる,まぬが.れる	儿
搬	8	1664	13	conveyor, carry, transport	ハン		扎
省	4	548	9	government ministry, conserve, omit	セイ,ショウ	かえり.みる,はぶ.く	目
絵	2	895	12	picture, drawing, painting, sketch	カイ,エ		糸
館	3	613	16	building, mansion, large building, palace	カン	やかた,たて	食
像	5	856	14	statue, picture, image, figure, portrait	ゾウ		化
栄	4	920	9	flourish, prosperity, honor, glory, splendor	エイ,ヨウ	さか.える,は.え,-ば.え,は.える,え	木
冠	8	1503	9	crown, best, peerless	カン	かんむり	冖
枯	8	1749	9	wither, die, dry up, be seasoned	コ	か.れる,か.らす	木
光	2	527	6	ray, light	コウ	ひか.る,ひかり	儿
誉	8	1064	13	reputation, praise, honor, glory	ヨ	ほま.れ,ほ.める	言
養	4	888	15	foster, bring up, rear, develop, nurture	ヨウ,リョウ	やしな.う	食
永	5	846	5	eternity, long, lengthy	エイ	なが.い	汁
遠	2	887	13	distant, far	エン,オン	とお.い	込
泳	3	1223	8	swim	エイ	およ.ぐ	汁
単	4	586	9	simple, one, single, merely	タン	ひとえ	十
訳	6	1050	11	translate, reason, circumstance, case	ヤク	わけ	言
雄	8	669	12	masculine, male, hero, leader, superiority, excellence	ユウ	お-,おす,おん	隹
詠	8	2000	12	recitation, poem, song, composing	エイ	よ.む,うた.う	言
鋭	8	1395	15	pointed, sharpness, edge, weapon, sharp, violent	エイ	するど.い	金
敏	8	1042	10	cleverness, agile, alert	ビン	さとい	攵
液	5	1210	11	fluid, liquid, juice, sap, secretion	エキ		汁
晶	8	1613	12	sparkle, clear, crystal	ショウ		日
駅	3	724	14	station	エキ		馬
弁	5	619	5	valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap	ベン,ヘン	かんむり,わきま.える,わ.ける,はなびら,あらそ.う	廾
超	8	597	12	transcend, super-, ultra-	チョウ	こ.える,こ.す	走
冬	2	1090	5	winter	トウ	ふゆ	冫
閲	8	1855	15	review, inspection, revision	エツ	けみ.する	門
卓	8	1348	8	eminent, table, desk, high	タク		十
柱	3	1119	9	pillar, post, cylinder, support	チュウ	はしら	木
筒	8	1631	12	cylinder, pipe, tube, gun barrel, sleeve	トウ	つつ	竹
園	2	628	13	park, garden, yard, farm	エン	その	囗
芸	4	719	7	technique, art, craft, performance, acting, trick, stunt	ゲイ,ウン	う.える,のり,わざ	艾
宴	8	1675	10	banquet, feast, party	エン	うたげ	宀
滞	8	1107	13	stagnate, be delayed, overdue, arrears	タイ,テイ	とどこお.る	汁
沿	6	1121	8	run alongside, follow along, run along, lie along	エン	そ.う,-ぞ.い	汁
岸	3	556	8	beach	ガン	きし	山
歌	2	519	14	song, sing	カ	うた,うた.う	欠
劇	6	662	15	drama, play	ゲキ		刀
習	3	706	11	learn	シュウ,ジュ	なら.う,なら.い	羽
舌	6	1830	6	tongue, reed, clapper	ゼツ	した	舌
奏	6	1067	9	play music, speak to a ruler, complete	ソウ	かな.でる	大
壇	8	1512	16	podium, stage, rostrum, terrace	ダン,タン		土
炎	8	1242	8	inflammation, flame, blaze	エン	ほのお	火
症	8	1111	10	symptoms, illness	ショウ		疔
煙	8	1290	13	smoke	エン	けむ.る,けむり,けむ.い	火
猿	8	1772	13	monkey	エン	さる	犯
隔	8	1382	13	isolate, alternate, distance, separate, gulf	カク	へだ.てる,へだ.たる	阡
距	8	1191	12	long-distance, spur, fetlock	キョ	へだ.たる,けづめ	足
征	8	1578	8	subjugate, attack the rebellious, collect taxes	セイ		彳
浅	4	1253	9	shallow, superficial, frivolous, wretched, shameful	セン	あさ.い	汁
慮	8	916	15	prudence, thought, concern, consider, deliberate, fear	リョ	おもんぱく.る,おもんぱか.る	心
筆	3	1132	12	writing brush, writing, painting brush, handwriting	ヒツ	ふで	竹
塩	4	1148	13	salt	エン	しお	土
汚	8	908	6	dirty, pollute, disgrace, rape, defile	オ	けが.す,けが.れる,けが.らわしい,よご.す,よご.れる,きたな.い	汁
濁	8	1883	16	voiced, uncleanness, wrong, nigori, impurity	ダク,ジョク	にご.る,にご.す	汁
奥	8	1018	12	heart, interior	オウ	おく,おく.まる,くま	大
診	8	1019	12	checkup, seeing, diagnose, examine	シン	み.る	言
徹	8	968	15	penetrate, clear, pierce, strike home, sit up (all night)	テツ		彳
酬	8	1515	13	repay, reward, retribution	シュウ,シュ,トウ	むく.いる	酉
召	8	1540	5	seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)	ショウ	め.す	口
接	5	523	11	touch, contact, adjoin, piece together	セツ,ショウ	つ.ぐ	扎
募	8	809	12	recruit, campaign, gather (contributions), enlist, grow violent	ボ	つの.る	力
押	8	789	8	push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of	オウ	お.す,お.し-,お.っ-,お.さえる,おさ.える	扎
顔	2	676	18	face, expression	ガン	かお	頁
綱	8	1053	14	hawser, class (genus), rope, cord, cable	コウ	つな	糸
幅	8	641	12	hanging scroll, width	フク	はば	巾
柄	8	1140	9	design, pattern, build, nature, character, handle, crank, grip, knob, shaft	ヘイ	がら,え,つか	木
暴	5	692	15	outburst, rave, fret, force, violence, cruelty, outrage	ボウ,バク	あば.く,あば.れる	日
洲	9	1979	9	continent, sandbar, island, country	シュウ,ス	しま	汁
殴	8	1622	8	assault, hit, beat, thrash	オウ	なぐ.る	殳
撲	8	1283	15	slap, strike, hit, beat, tell, speak	ボク		扎
王	1	684	4	king, rule, magnate	オウ,-ノウ		王
将	6	634	10	leader, commander, general, admiral, or, and again, soon, from now on, just about	ショウ,ソウ	まさ.に,はた,まさ,ひきい.る,もって	寸
妃	8	1752	6	queen, princess	ヒ	きさき	女
黄	2	1240	11	yellow	コウ,オウ	き,こ-	黄
沖	4	929	7	open sea, offing, rise high into sky	チュウ	おき,おきつ,ちゅう.する,わく	汁
縄	4	1075	15	straw rope, cord	ジョウ	なわ,ただ.す	糸
荻	9	1630	10	reed, rush	テキ	おぎ	艾
憶	8	1324	16	recollection, think, remember	オク		心
卸	8	1520	9	wholesale	シャ	おろ.す,おろし,おろ.し	卩
恩	6	1418	10	grace, kindness, goodness, favor, mercy, blessing, benefit	オン		心
給	4	615	12	salary, wage, gift, allow, grant, bestow on	キュウ	たま.う,たも.う,-たま.え	糸
恵	8	925	10	favor, blessing, grace, kindness	ケイ,エ	めぐ.む,めぐ.み	心
赦	8	1868	11	pardon, forgiveness	シャ	ゆる.す	赤
温	3	838	12	warm	オン	あたた.か,あたた.かい,あたた.まる,あたた.める,ぬく	汁
緩	8	933	15	slacken, loosen, relax, lessen, be moderate, ease	カン	ゆる.い,ゆる.やか,ゆる.む,ゆる.める	糸
厚	5	768	9	thick, heavy, rich, kind, cordial, brazen, shameless	コウ	あつ.い,あか	厂
床	8	1175	7	bed, counter for beds, floor, padding, tatami	ショウ	とこ,ゆか	广
泉	6	1086	9	spring, fountain	セン	いずみ	汁
存	6	577	6	exist, suppose, be aware of, believe, feel	ソン,ゾン	ながら.える,あ.る,たも.つ,と.う	子
暖	6	1371	13	warmth	ダン,ノン	あたた.か,あたた.かい,あたた.まる,あたた.める	日
穏	8	1535	16	calm, quiet, moderation	オン	おだ.やか	禾
健	4	572	11	healthy, health, strength, persistence	ケン	すこ.やか	化
便	4	729	9	convenience, facility, excrement, feces, letter, chance	ベン,ビン	たよ.り	化
訓	4	1134	10	instruction, Japanese character reading, explanation, read	クン,キン	おし.える,よ.む,くん.ずる	言
符	8	1798	11	token, sign, mark, tally, charm	フ		竹
坂	3	865	7	slope, incline, hill	ハン	さか	土
火	1	574	4	fire	カ	ひ,-び,ほ-	火
旬	8	1162	6	decameron, ten-day period, season (for specific products)	ジュン,シュン		日
駄	8	1500	14	burdensome, pack horse, horse load, send by horse, trivial, worthless	ダ,タ		馬
敷	8	1212	15	spread, pave, sit, promulgate	フ	し.く,-し.き	攵
肥	5	1469	8	fertilizer, get fat, fertile, manure, pamper	ヒ	こ.える,こえ,こ.やす,こ.やし,ふと.る	肉
兵	4	522	7	soldier, private, troops, army, warfare, strategy, tactics	ヘイ,ヒョウ	つわもの	ハ
器	4	525	15	utensil, vessel, receptacle, implement, instrument, ability, container, tool, set	キ	うつわ	口
繊	8	1451	17	slender, fine, thin kimono	セン		糸
仮	5	1039	6	sham, temporary, interim, assumed (name), informal	カ,ケ	かり,かり-	化
才	2	1497	3	genius, years old, cubic shaku	サイ		扎
卒	4	772	8	graduate, soldier, private, die	ソツ,シュツ	そっ.する,お.える,お.わる,ついに,にわか	十
佳	8	1643	8	excellent, beautiful, good, pleasing, skilled	カ		化
盟	6	587	13	alliance, oath	メイ		皿
笑	4	913	10	laugh	ショウ	わら.う,え.む	竹
奇	8	1367	8	strange, strangeness, curiosity	キ	く.しき,あや.しい,くし,めずら.しい	大
