surface	reading	meaning	frequency_rank	jlpt_level	part_of_speech
配置	はいち	arrangement (of resources); deployment; stationing; posting; disposition; configuration; layout	2528	N1	n
道具	どうぐ	tool; implement; instrument; utensil; apparatus; device; means	2529	N4	n
刑事	けいじ	(police) detective; criminal matter	2530	N3	n
勢い	いきおい	force; vigor; vigour; energy; spirit; life; influence; authority; power; might	2531	N3	n
対立	たいりつ	confrontation; opposition; antagonism	2533	N2	n
症状	しょうじょう	symptoms; condition (of a patient)	2535	N3	n
入院	にゅういん	hospitalization; hospitalisation	2536	N4	n
教員	きょういん	teacher; instructor; teaching staff; faculty member	2537	N1	n
中学	ちゅうがく	junior high school; middle school; lower secondary school	2539	N3	n
表面	ひょうめん	surface; face; outside; exterior	2540	N3	n
情勢	じょうせい	state of things; state of affairs; situation; conditions; circumstances	2541	N1	n
広島	ひろしま	Hiroshima (city, prefecture)	2542		n
学会	がっかい	learned society; scientific society; academy; academic meeting; academic conference	2546	N2	n
総会	そうかい	general meeting	2549	N1	n
通	つう	authority; expert; connoisseur; well-informed person; counter for messages, letters, notes, documents, etc.	2552	N1	n
数学	すうがく	mathematics	2554	N4	n
土曜日	どようび	Saturday	2555	N5	n
民	たみ	people; citizens; subjects; folk	2556		n
承認	しょうにん	recognition; acknowledgement; acknowledgment; approval; consent; agreement	2557	N3	n
何となく	なんとなく	somehow; for some reason (or other); without knowing why	2558	N2	adv
下記	かき	the following	2559		n
侵害	しんがい	infringement; violation; invasion; encroachment; trespass	2560		n
受賞	じゅしょう	winning a prize; receiving an award; being awarded	2561		n
赤字	あかじ	(being in) the red; deficit; red letter; red writing	2563	N1	n
見かける	みかける	to (happen to) see; to notice; to catch sight of	2564	N1	v1
次々	つぎつぎ	in succession; one by one	2567	N3	adv
加工	かこう	manufacturing; processing; treatment; machining	2568	N1	n
書店	しょてん	bookshop; bookstore	2569	N2	n
緩和	かんわ	relief; mitigation; alleviation; relaxation (of restrictions, tensions, etc.); easing; softening	2571	N1	n
お気に入り	おきにいり	favorite; favourite; pet (e.g. teacher's pet); bookmark (in a web browser)	2576		n
個性	こせい	individuality; personality; quirk; idiosyncrasy; character; individual characteristic	2577	N1	n
作戦	さくせん	tactics; strategy; military operation; naval operation	2578	N1	n
指揮	しき	command; direction; supervision; conducting (an orchestra, choir, etc.)	2579	N1	n
技	わざ	technique; art; skill; move	2580	N1	n
誤解	ごかい	misunderstanding	2582	N3	n
偶然	ぐうぜん	coincidence; chance; accident; fortuity; by chance; unexpectedly; accidentally	2583	N3	n
少々	しょうしょう	a little; a bit; a small amount; a few; a pinch; some; a little while; a short time; a moment; a minute; a second	2585	N3	adv
高まる	たかまる	to rise; to swell; to be promoted	2587	N1	v5r
確信	かくしん	conviction; belief; confidence	2590	N1	n
意志	いし	will; volition; intention; intent; determination	2592	N3	n
高校生	こうこうせい	senior high school student	2597	N4	n
１２月	じゅうにがつ	December; twelfth month of the lunar calendar	2598		n
勇気	ゆうき	courage; bravery; valour; valor; nerve; boldness	2603	N3	n
売買	ばいばい	trade; buying and selling; trafficking (e.g. of humans, arms, drugs); dealing	2605	N2	n
公演	こうえん	public performance; exhibition in a foreign country	2606	N1	n
制御	せいぎょ	control (of a machine, device, etc.); control (over an opponent, one's emotions, etc.); governing; management; suppression; keeping in check	2607		n
食べ物	たべもの	food	2608	N5	n
法則	ほうそく	law; rule	2613	N2	n
作者	さくしゃ	creator (of a work); author; writer; artist; composer; playwright; dramatist	2614	N2	n
文句	もんく	complaint; grumbling; objection; phrase; words; expression	2616	N3	n
生まれ	うまれ	birth; birthplace; born in (country, month, imperial era, zodiac year, etc.)	2617	N3	n
失礼	しつれい	discourtesy; impoliteness; excuse me; goodbye	2618		n
博物館	はくぶつかん	museum	2619	N3	n
神社	じんじゃ	Shinto shrine	2620	N4	n
予防	よぼう	prevention; protection (against); precaution	2621	N3	n
正当	せいとう	just; justifiable; right; due; proper; equitable; reasonable; legitimate; legal; lawful	2622	N1	adj-na
実家	じっか	(one's parents') home	2626		n
活性	かっせい	activity; active	2627		n
受信	じゅしん	receiving (a message, letter, email, etc.); reception (radio, TV, etc.)	2628		n
自主	じしゅ	independence; autonomy; self-reliance	2629	N1	n
確率	かくりつ	probability; likelihood; chances	2631	N2	n
表明	ひょうめい	declaration; indication; representation; manifestation; demonstration; expression; announcement; assertion	2632		n
美術館	びじゅつかん	art museum; art gallery	2633	N4	n
解消	かいしょう	cancellation; liquidation; resolution; reduction (e.g. of stress)	2634		n
苦手	にがて	poor (at); weak (in); not very good (at); not one's cup of tea; not one's favorite	2637	N3	adj-na
爆発	ばくはつ	explosion; detonation; blast; blowing up; eruption; outburst (of emotion); explosion (e.g. of anger); eruption (e.g. of discontent)	2638	N3	n
欧米	おうべい	Europe and the United States; Europe and America; the West	2639	N2	n
信仰	しんこう	(religious) faith; belief; creed	2641	N3	n
現行	げんこう	present; current; in operation	2643	N1	n
解放	かいほう	release; unleashing; liberation; emancipation; setting free; deallocation (of computer memory)	2645	N2	n
発電	はつでん	generation of electricity; power generation; sending a telegram; telegraphing	2647	N2	n
損害	そんがい	damage; injury; loss	2650	N3	n
小学生	しょうがくせい	elementary school student; primary school student; grade school student	2651	N2	n
取り組み	とりくみ	effort; initiative; dealing with; grappling with; wrestling with; bout (in sports, etc.); match	2652		n
運命	うんめい	fate; destiny; lot	2660	N1	n
個々	ここ	individual; one by one; separate; each	2661	N1	n
経費	けいひ	expenses; expenditure; outgoings; outlays; costs	2664	N1	n
本書	ほんしょ	main text; original text	2667		n
建てる	たてる	to build; to construct	2669	N4	v1
原	はら	field; plain; prairie; tundra; moor; wilderness	2670	N3	n
仕様	しよう	way; method; means; resource; remedy; (technical) specification	2671	N1	n
電力	でんりょく	electric power	2673	N2	n
発達	はったつ	development; growth; progress; advancement	2675	N3	n
来	らい	next (year, spring, etc.); coming; since (e.g. last month); for (e.g. 20 years)	2676	N3	pref
性能	せいのう	ability; performance; efficiency	2679	N2	n
立派	りっぱ	splendid; fine; handsome; elegant; imposing; prominent; impressive; praiseworthy; creditable; worthy	2680	N5	adj-na
役員	やくいん	director; executive; officer; official; person in charge	2681		n
大いに	おおいに	very; very much; greatly; considerably; highly; exceedingly; a great deal; a lot; to one's heart's content	2682	N3	adv
影	かげ	shadow; silhouette; figure; shape; reflection; image	2683	N3	n
象徴	しょうちょう	symbol (of something abstract); emblem; (symbolic) representation	2684	N1	n
性質	せいしつ	nature (of a person); disposition; temperament; character; quality; inherent characteristic; property; nature; (chemical) behavior	2685	N2	n
送信	そうしん	transmission; sending	2686		n
上手	じょうず	skillful; skilled; proficient; good (at); adept; clever; flattery	2688	N5	adj-na
圧力	あつりょく	pressure; pressure (e.g. political); arm-twisting	2689	N1	n
得意	とくい	satisfaction; pride; triumph; elation; one's strong point; one's forte; one's specialty	2692	N3	n
温度	おんど	temperature	2693	N3	n
初心者	しょしんしゃ	beginner	2694		n
一生懸命	いっしょうけんめい	very hard; with utmost effort; as hard as one can; with all one's might; for dear life; eagerly; desperately	2695	N4	adv
香港	ホンコン	Hong Kong	2696		n
急ぐ	いそぐ	to hurry; to rush; to hasten; to make something happen sooner	2697	N4	v5g
必死	ひっし	frantic; frenetic; desperate; inevitable death	2698	N3	adj-na
具合	ぐあい	condition; state; health; state (of health)	2704	N4	n
神経	しんけい	nerve; nerves; sensitivity	2706	N3	n
作用	さよう	action; operation; process; agency; effect; function	2707	N1	n
言わば	いわば	so to speak; so to call it; as it were	2708	N3	adv
本物	ほんもの	genuine article; real thing; real deal	2710	N3	n
過ぎ	すぎ	past; after; too (much); over- (e.g. eating)	2711	N1	n
意義	いぎ	meaning; significance	2712	N2	n
延長	えんちょう	extension; elongation; prolongation; lengthening; (total) length	2715	N2	n
観客	かんきゃく	spectator; audience	2716	N3	n
深刻	しんこく	serious; severe; grave; acute	2717	N3	adj-na
路線	ろせん	route (bus, train, air, etc.); line; line (taken by a group, organization, etc.); policy; course	2720		n
武器	ぶき	weapon; arms; ordnance; weapon (something used to gain an advantage); asset	2723	N3	n
取締役	とりしまりやく	company director; board member	2724		n
方面	ほうめん	direction; district; area; field (e.g. of study); sphere; quarter; aspect; angle	2726	N2	n
盛り上がる	もりあがる	to swell; to rise; to bulge; to be piled up; to rouse; to get excited	2727	N1	v5r
自立	じりつ	independence; self-reliance	2728	N1	n
荷物	にもつ	luggage; baggage; package; burden	2729	N5	n
直前	ちょくぜん	just before; just prior to; right in front of; just in front of	2731	N2	n
見直し	みなおし	review; reconsideration; revision	2732		n
部品	ぶひん	parts; accessories; components	2734	N2	n
負う	おう	to carry on one's back; to bear; to shoulder; to take (responsibility); to assume; to accept; to bear (the blame, costs, etc.); to have (a duty, obligation, etc.); to become responsible for; to be burdened with (work, debt, etc.)	2737	N1	v5u
結う	ゆう	to do up (hair); to dress; to arrange; to tie; to bind; to fasten; to make (a fence)	2738		v5u
幹部	かんぶ	management; (executive) staff; leaders; leadership; top brass; upper echelons	2739	N1	n
相変わらず	あいかわらず	as usual; as always; as before; as ever; still	2740	N2	adv
本気	ほんき	seriousness; earnestness; truth; sanctity	2741	N1	n
最適	さいてき	most suitable; optimum; optimal; best	2742		adj-na
１１月	じゅういちがつ	November; eleventh month of the lunar calendar	2744		n
地下	ちか	underground; below the ground; world of the dead; the grave	2745	N3	n
慎重	しんちょう	careful; cautious; prudent; discreet; deliberate	2746	N3	adj-na
随分	ずいぶん	very; extremely; surprisingly; fairly; quite; considerably; awfully; terribly; terrible; horrid; contemptible; reprehensible	2749	N4	adv
学問	がくもん	study; scholarship; learning; education; knowledge; discipline; branch of learning; (a) science	2750	N3	n
見通し	みとおし	unobstructed view; perspective; visibility; vista; forecast; outlook; prospect; prediction	2752	N1	n
導く	みちびく	to guide; to lead; to show the way; to conduct; to derive; to deduce	2753	N1	v5k
進出	しんしゅつ	advance (into a new market, industry, etc.); expansion (into); launch (into); entering; making inroads (into); advance (to the next round of a competition)	2756	N1	n
総裁	そうさい	president (of an organization); director general; governor (of a central bank); party leader (esp. LDP)	2762		n
視聴	しちょう	looking and listening; (television) viewing; watching; (public) attention; interest	2763		n
過多	かた	excess; surplus; superabundance	2765	N1	n
格差	かくさ	qualitative difference; disparity; gap	2768	N1	n
区別	くべつ	distinction; differentiation; discrimination; difference	2769	N3	n
支払い	しはらい	payment	2771	N3	n
休日	きゅうじつ	holiday; day off	2773		n
当社	とうしゃ	this company; this firm; this shrine	2774		n
解析	かいせき	analysis; analytical study; parsing; parse	2775		n
課	か	lesson; section (in an organization); division; department	2776	N3	n
投げる	なげる	to throw; to hurl; to fling; to toss; to cast; to give up; to abandon; to throw away	2777	N4	v1
上司	じょうし	(one's) superior; (one's) boss; the higher-ups	2778	N1	n
民営	みんえい	private management	2780		n
法的	ほうてき	legal	2781		adj-na
周年	しゅうねん	whole year; entire year; n-th year anniversary	2782		n
医	い	medicine; the healing art; healing; curing; doctor	2783		n
競技	きょうぎ	game; match; contest; competition; sport; (sporting) event	2786	N3	n
辺り	あたり	(in the) neighbourhood; neighborhood; vicinity; nearby; surroundings; around; about; or thereabouts	2787	N3	n
当事者	とうじしゃ	person concerned; interested party; related party	2789		n
素直	すなお	obedient; meek; docile; unaffected; honest; frank; upfront (about one's feelings)	2790	N2	adj-na
決算	けっさん	settlement of accounts; closing accounts; financial results; reporting (of accounts)	2791	N1	n
大衆	たいしゅう	general public; the masses	2795	N1	n
回す	まわす	to turn; to rotate; to spin; to twist; to gyrate; to pass around; to send around; to hand around; to circulate	2796	N3	v5s
人事	じんじ	personnel affairs; human affairs; human resources; HR	2797		n
勢力	せいりょく	influence; power; might; strength; potency; force; energy; influence (of stones)	2798	N1	n
不正	ふせい	injustice; unfairness; wrongdoing; iniquity; impropriety; irregularity; dishonesty; illegality; fraud	2800	N3	n
議長	ぎちょう	chair; chairman; chairperson; speaker (of an assembly); president (of a council, senate, etc.)	2801	N3	n
報酬	ほうしゅう	remuneration; recompense; reward; toll	2802	N1	n
応用	おうよう	(practical) application; putting to practical use; applied (e.g. physics, linguistics, research)	2805	N2	n
ソ連	ソれん	Soviet Union; USSR	2807		n
変換	へんかん	change; conversion; transformation	2809		n
減らす	へらす	to abate; to decrease; to diminish; to shorten	2810	N3	v5s
連邦	れんぽう	federation (of states); confederation; commonwealth; union	2811	N1	n
衝撃	しょうげき	impact; shock; impulse; (psychological) shock	2812	N1	n
今朝	けさ	this morning	2814	N5	n
権限	けんげん	power; authority; jurisdiction	2815	N1	n
動向	どうこう	trend; tendency; movement; attitude	2816	N1	n
療法	りょうほう	(method of) treatment; therapy; remedy; cure	2823		n
収益	しゅうえき	earnings; proceeds; returns; revenue	2825	N1	n
人数	にんずう	the number of people; many people; a large number of people	2827		n
本島	ほんとう	main island; this island	2829		n
政党	せいとう	political party	2830	N2	n
違法	いほう	illegal; illicit; unlawful	2831		adj-na
来週	らいしゅう	next week	2834	N5	n
本体	ほんたい	substance; true form; true character; main part; main unit; body (of a machine)	2836	N1	n
一生	いっしょう	whole life; a lifetime; all through life; (the only, the greatest, etc.) of one's life	2840	N3	n
原作	げんさく	original work	2841	N1	n
書き込む	かきこむ	to fill in (field, entry, etc.); to fill out (form); to post a message (e.g. on a bulletin-board)	2844		v5m
強力	きょうりょく	powerful; strong	2846	N3	adj-na
箇所	かしょ	place; point; part; spot; area; passage; portion; counter for places, parts, passages, etc.	2848	N2	n
族	ぞく	tribe; race; people; family; group (of people who share a common feature); gang; lot; bunch	2849		n-suf
圧倒的	あっとうてき	overwhelming	2851		adj-na
付け	つけ	bill; bill of sale; payment invoice; tab (for later payment); credit	2854		n
港	みなと	harbour; harbor; port	2855	N4	n
移る	うつる	to move (to another place or state); to change (e.g. of state, affiliation, scenery, etc.); to be transferred; to spread (of a fire, smell, etc.); to catch (an illness); to be infected; to be contagious	2857	N4	v5r
実力	じつりょく	(real) ability; true strength; merit; efficiency; competency; arms; force	2858	N2	n
裁判官	さいばんかん	judge	2859		n
何故なら	なぜなら	because; the reason is; if you want to know why	2860	N3	conj
恋人	こいびと	lover; sweetheart; boyfriend; girlfriend	2861	N3	n
首都	しゅと	capital (city); metropolis	2862	N3	n
質疑	しつぎ	question; interpellation	2863	N1	n
住所	じゅうしょ	address (of a home, business, etc.); residence; domicile	2865	N4	n
防ぐ	ふせぐ	to defend against; to protect against; to prevent; to avert; to avoid	2866	N3	v5g
何か	なにか	something; some; any; somehow; for some reason	2868	N3	pn
子育て	こそだて	child rearing; child raising; raising children; parenting	2870		n
作曲	さっきょく	composition (of music); setting; writing music	2875	N3	n
失業	しつぎょう	unemployment; losing one's job; becoming unemployed	2876	N3	n
客観	きゃっかん	objectivity; objective; object (philosophical)	2877	N1	n
田舎	いなか	rural area; countryside; the sticks; hometown	2878	N4	n
任せる	まかせる	to leave (a matter, decision, etc. to someone); to entrust (to someone); to entrust (someone) with; to leave (to chance, one's imagination, etc.); to let (take its own course); to let (happen); to give (oneself to something)	2879	N3	v1
指す	さす	to point; to nominate; to select someone; to specify some person	2881	N3	v5s
同社	どうしゃ	the same company; the said firm; the same (Shinto) shrine; the said shrine	2882		n
倫理	りんり	ethics; morals	2885		n
中古	ちゅうこ	used; second-hand; old; Middle Ages (in Japan esp. Heian period)	2886	N3	adj-no
見つめる	みつめる	to stare (at); to gaze (at); to look hard (at); to watch intently; to fix one's eyes (on)	2888		v1
朝日	あさひ	morning sun	2889		n
高級	こうきゅう	high-class; high-grade; high-quality; high-end; luxury; high-ranking; high-level; senior	2890	N2	adj-na
消す	けす	to erase; to rub out; to rub off; to cross out; to delete; to turn off (a light, TV, heater, etc.); to switch off	2891	N5	v5s
辞書	じしょ	dictionary; lexicon; letter of resignation	2892	N5	n
市長	しちょう	mayor	2893		n
一種	いっしゅ	a kind; a sort; a variety; a species; of sorts; something of a; a sort of	2894	N3	n
入門	にゅうもん	becoming a pupil (of); becoming a disciple; entering an institution; beginning training; introduction (to); primer; guide	2895		n
そう言えば	そういえば	now that you mention it; come to think of it; that reminds me; on that subject; speaking of which	2896	N2	exp
出張	しゅっちょう	business trip; official trip	2898	N2	n
夕食	ゆうしょく	evening meal; dinner	2900		n
深夜	しんや	late at night	2904	N2	n
協定	きょうてい	arrangement; pact; agreement	2905	N1	n
半年	はんとし	half a year; six months	2906		n
身近	みぢか	near oneself; close to one; familiar	2909	N1	adj-na
撃つ	うつ	to shoot (a gun, person, etc.); to fire	2911	N3	v5t
物件	ぶっけん	article; thing; object; property; real estate	2912		n
着	ちゃく	arrival; arriving at ...; counter for items or suits of clothing	2914	N1	n-suf
優秀	ゆうしゅう	superior; excellent; brilliant; outstanding	2915	N3	adj-na
加わる	くわわる	to be added to; to be appended; to join in (e.g. a group of friends); to participate	2916	N3	v5r
面接	めんせつ	interview (e.g. for a job)	2919	N2	n
部隊	ぶたい	force; unit; corps; squad; troops; party	2920		n
給与	きゅうよ	pay; salary; wages; allowance; grant; supply; providing with	2923	N2	n
発音	はつおん	pronunciation; production of sound	2926	N4	n
配布	はいふ	distribution	2927	N1	n
同意	どうい	agreement; consent; approval; assent; same opinion; same view	2928	N1	n
交付	こうふ	delivery; issuance; handing over; granting	2929	N1	n
有難い	ありがたい	grateful; thankful; welcome; appreciated; evoking gratitude	2930	N2	adj-i
保有	ほゆう	possession; retention; maintenance; holding; keeping	2932		n
課長	かちょう	section manager; section chief	2933	N4	n
体系	たいけい	system; organization; organisation; architecture	2935	N2	n
同一	どういつ	identical; same; one and the same; equal; fair; equal treatment; without discrimination	2937	N3	adj-no
官僚	かんりょう	bureaucrat; government official; bureaucracy	2938	N1	n
列車	れっしゃ	train; railway train	2939	N3	n
構想	こうそう	plan; plot; idea; conception; vision; scheme	2940	N1	n
口座	こうざ	account (e.g. bank)	2941		n
説得	せっとく	persuasion	2942	N1	n
決議	けつぎ	resolution; vote; decision	2943	N1	n
地位	ちい	(social) position; status; standing; position (in a company, organization, etc.); post; rank	2944	N3	n
進歩	しんぽ	progress; advance; improvement; development	2946	N3	n
追求	ついきゅう	pursuit (of a goal, ideal, etc.); search; chase; seeking after	2947		n
続き	つづき	continuation; rest (of the story, work, etc.); next installment; sequel; flow (e.g. of a piece of writing); pacing (of a story)	2948	N3	n
和	わ	sum; harmony; peace	2950	N1	n
燃料	ねんりょう	fuel	2951	N1	n
ご存知	ごぞんじ	knowing; being aware (of); (an) acquaintance	2952	N4	n
解除	かいじょ	termination (of a contract); cancellation; rescinding; rescission; lifting (of a ban, sanctions, etc.); removal; release (from obligations); cancellation (of a warning, alert, etc.); calling off (e.g. a strike); releasing (a lock)	2956	N1	n
好み	このみ	liking; taste; fancy; fondness; wish; desire; choice; preference	2957	N3	n
加入	かにゅう	joining (a club, organization, etc.); becoming a member; entry; admission; subscription; affiliation; signing (e.g. a treaty); taking out (insurance)	2958	N1	n
側面	そくめん	side; flank; profile; sidelight; lateral; aspect; dimension	2959	N1	n
開設	かいせつ	establishment; opening; setting up; inauguration	2960		n
在庫	ざいこ	stock; inventory; having in stock; being in stock	2962	N1	n
回収	かいしゅう	collection; recovery; withdrawal; retrieval	2964	N1	n
生む	うむ	to give birth; to bear (child); to lay (eggs); to produce; to yield; to give rise to; to deliver	2965	N1	v5m
移転	いてん	moving; relocation; change of address; transfer (of deeds, property, etc.); demise	2969	N2	n
全般	ぜんぱん	(the) whole; as a whole; in general; at large	2970	N2	n
全面	ぜんめん	whole surface; entire	2972		n
非難	ひなん	criticism; blame; censure; attack; reproach	2973	N1	n
修理	しゅうり	repair; mending; fixing; servicing	2974	N3	n
集合	しゅうごう	meeting up; gathering; assembly; set	2975	N2	n
音声	おんせい	voice; speech; sound of a voice; sound (e.g. of a TV)	2977		n
施行	しこう	putting in force (a law); putting into operation; putting into effect; enforcement; carrying out (a plan, policy, etc.); execution	2978	N1	n
増す	ます	to increase; to grow	2979	N3	v5s
共に	ともに	together; jointly; at the same time; with; as ...; including; along with	2980	N3	adv
文明	ぶんめい	civilization; civilisation; culture; Bunmei era (1469.4.28-1487.7.20)	2983	N3	n
流行	りゅうこう	fashion; trend; vogue; craze; fad; popularity; prevalence (of a disease); epidemic	2984	N3	n
不良	ふりょう	bad; poor; inferior; defective; delinquent; hoodlum; hooligan	2986	N1	adj-no
美術	びじゅつ	art; fine arts	2987	N1	n
名誉	めいよ	honor; honour; credit; glory; fame; distinction; prestige; dignity; reputation; good name	2988	N1	n
田	た	rice field	2989	N3	n
変動	へんどう	change; fluctuation	2990	N1	n
都道府県	とどうふけん	prefectures (of Japan); largest administrative divisions of Japan: Tokyo-to, Osaka-fu, Kyoto-fu, Hokkaido and the remaining prefectures	2991		n
受講	じゅこう	taking a lecture; attending a class; taking a course	2993		n
商店	しょうてん	shop; store; firm	2994	N2	n
伝説	でんせつ	legend; folklore; tradition	2995	N1	n
言	げん	word; remark; statement	2996		n
再開	さいかい	reopening; resumption; restarting	2999		n
公的	こうてき	public; official	3003		adj-na
転職	てんしょく	change of job; change of occupation; career change	3006		n
先進	せんしん	advanced; developed; seniority; senior; superior; elder	3008		adj-no
遺伝子	いでんし	gene	3009		n
農家	のうか	farmer; farming family; farmhouse	3010	N3	n
総務	そうむ	general affairs; general business; manager; director; adjutant general	3011		n
当てる	あてる	to hit; to expose	3019	N3	v1
紛争	ふんそう	dispute; conflict; trouble; unrest; strife	3023	N1	n
決意	けつい	decision; determination; resolution	3025	N1	n
一杯	いっぱい	one cup (of); one glass (of); one bowl (of); cupful; glassful; bowlful; spoonful; one drink (of alcohol)	3027	N4	n
移民	いみん	immigration; emigration; immigrant; emigrant	3028	N1	n
毎週	まいしゅう	every week	3032	N5	n
階段	かいだん	stairs; stairway; staircase	3034	N5	n
施策	しさく	policy; measure	3036		n
男子	だんし	boy; man; male	3037	N3	n
育児	いくじ	childcare; child-rearing; nursing; upbringing	3039	N2	n
学部	がくぶ	faculty (of a university); school; college; department	3040	N2	n
懸念	けねん	worry; fear; anxiety; concern	3041		n
買収	ばいしゅう	acquisition (esp. corporate); buy-out; takeover; purchase; bribery; buying off; corruption	3042		n
不幸	ふこう	unhappiness; sorrow; misfortune; disaster; accident; death (usu. of a relative); bereavement	3043	N3	n
知恵	ちえ	wisdom; wit; sagacity; sense; intelligence; prajna (insight leading to enlightenment)	3044	N3	n
行事	ぎょうじ	event; function	3054	N2	n
金曜日	きんようび	Friday	3055	N5	n
考察	こうさつ	consideration; inquiry; enquiry; investigation; study	3058		n
成り立つ	なりたつ	to consist of; to be made up of; to be composed of; to be concluded (e.g. of an agreement); to hold true (e.g. of a theory); to be valid	3060	N1	v5t
体調	たいちょう	physical condition; state of health; shape	3061		n
手数料	てすうりょう	(handling) fee; charge (e.g. for a cancellation); commission; brokerage	3062		n
例外	れいがい	exception	3063	N2	n
中止	ちゅうし	interruption; discontinuance; suspension; stoppage; cancellation (of a planned event); calling off	3065	N3	n
債権	さいけん	credit; claim	3066		n
主婦	しゅふ	housewife; mistress (of the house); homemaker	3067	N3	n
証	あかし	proof; evidence; sign; testimony; testament (to something); vindication; witnessing; testifying	3068	N1	n
融資	ゆうし	financing; loan	3070	N1	n
理念	りねん	(Platonic) ideal (of how things ought to be, e.g. human rights); foundational principle; idea; conception (e.g. of the university); doctrine; ideology	3074		n
発射	はっしゃ	firing (esp. a rocket or missile); launching; shooting; discharge; catapult; ejaculation	3075	N2	n
公正	こうせい	justice; fairness; impartiality	3076	N2	n
取り入れる	とりいれる	to take in; to gather in; to adopt (e.g. an idea); to accept (e.g. advice); to introduce (e.g. technology); to borrow (e.g. a word)	3078	N2	v1
給料	きゅうりょう	salary; wages; pay	3079	N3	n
言い方	いいかた	way of saying (something); way of putting it; wording; phrasing; language; expression	3081		n
前日	ぜんじつ	previous day; day before; eve; prior day; preceding day	3082		n
疑う	うたがう	to doubt; to distrust; to be suspicious of; to suspect	3086	N3	v5u
商売	しょうばい	trade; business; commerce; occupation; calling; profession; job	3087	N3	n
科目	かもく	(school) subject; curriculum; course; item; heading; entry	3089	N3	n
短期	たんき	short-term	3090	N2	adj-no
特性	とくせい	special characteristic; special quality; trait; idiosyncrasy; peculiarity	3091		n
復帰	ふっき	return; reversion; comeback; reinstatement; carriage return	3092		n
付近	ふきん	neighborhood; neighbourhood; vicinity; environs; surrounding area; district	3093	N2	n
門	もん	gate; branch of learning based on the teachings of a single master; school	3095	N5	n
素人	しろうと	amateur; layman; ordinary person; novice; respectable woman (i.e. not a prostitute, hostess, geisha)	3096	N2	n
犯人	はんにん	offender; criminal; culprit	3097	N3	n
北京	ペキン	Beijing (China); Peking	3099		n
念	ねん	sense; idea; thought; feeling; desire; concern	3102	N1	n
尊重	そんちょう	respect; esteem; regard	3103	N3	n
古代	こだい	ancient times; distant past; antiquity	3104	N1	n
帝国	ていこく	empire; Empire of Japan	3106		n
冒頭	ぼうとう	beginning; opening; start; outset	3107	N1	n
郵政	ゆうせい	postal system	3109		n
体重	たいじゅう	(body) weight	3110		n
本件	ほんけん	this matter; this case	3111		n
有	ゆう	existence; possession; having	3112		n
通貨	つうか	currency	3113	N2	n
動画	どうが	video (esp. digital); video clip; clip; animation; animated cartoon	3114		n
上海	シャンハイ	Shanghai (China)	3118		n
財	ざい	fortune; riches; goods	3119	N1	n
人工	じんこう	artificial; man-made; human work; human skill; artificiality	3120	N3	n
気温	きおん	(air) temperature	3121	N3	n
適正	てきせい	reasonable; suitable	3122		adj-na
記す	しるす	to write down; to note down; to jot down; to take a note of; to mention; to describe; to give an account of	3123	N1	v5s
新潟	にいがた	Niigata (city, prefecture)	3124		n
抗議	こうぎ	protest; objection	3125	N1	n
広場	ひろば	public square; square; plaza; piazza; forum; open space; clearing	3127	N2	n
台風	たいふう	typhoon; hurricane	3128	N4	n
受付	うけつけ	reception (desk); information desk; receptionist; information clerk; receipt; acceptance	3130	N4	n
生涯	しょうがい	life; lifetime; career; for life; all one's life; throughout one's life; as long as one lives	3134		n
自覚	じかく	self-consciousness; self-awareness	3137	N1	n
比率	ひりつ	ratio; proportion; percentage	3139	N1	n
上映	じょうえい	screening (a movie); showing	3141		n
再度	さいど	a second time; again; once more; twice	3146		adv
観測	かんそく	observation; survey; measurement; opinion; prediction; thinking	3147	N2	n
拍手	はくしゅ	clapping hands; applause; clapping one's hands in prayer (at a shrine)	3152	N3	n
要件	ようけん	important matter; requirement; requisite; necessary condition; sine qua non	3153		n
数値	すうち	numerical value; figure; result; reading (on a meter, etc.)	3156		n
保守	ほしゅ	maintenance; conservatism; conservativeness; conservation	3158	N1	n
に渡って	にわたって	throughout; over a period of ...; over a span of ...	3162		exp
生き方	いきかた	way of life; how to live	3163		n
財源	ざいげん	source of funds; resources; finances	3166	N1	n
経緯	けいい	details; particulars; sequence of events; circumstances; situation; how things got this way; longitude and latitude	3170	N1	n
支出	ししゅつ	expenditure; disbursement; expenses	3171	N3	n
対話	たいわ	dialogue; conversation; talk; discussion; communication	3179	N1	n
入り口	いりぐち	entrance; entry; gate; approach; mouth	3180	N5	n
長年	ながねん	many years; a long time	3182		n
毎回	まいかい	every time; each round	3183		n
返信	へんしん	reply (e.g. email, fax, letter); answer	3184		n
会談	かいだん	talks (i.e. formal discussions); conference; meeting	3185	N1	n
信号	しんごう	signal; signalling; signaling; traffic light; traffic signal	3186	N3	n
借金	しゃっきん	debt; loan; liabilities; borrowing money; number of games under the .500 mark	3187	N3	n
監査	かんさ	inspection; audit; judgement; judgment	3188		n
選択肢	せんたくし	choices; alternatives; options	3191		n
広報	こうほう	public relations; PR; publicity; public information; publicizing	3193		n
付き合う	つきあう	to associate with; to keep company with; to go out with; to go steady with; to get on with; to go along with; to follow someone's lead; to accompany someone; to compromise	3196	N2	v5u
過剰	かじょう	excess; surplus; superabundance; overabundance	3197	N2	n
極端	きょくたん	extreme; extremity	3200	N1	n
商業	しょうぎょう	commerce; trade; business	3201	N2	n
